Cluster,Latitude,Longitude,Pickup Label,Student Count
0,25.24299,55.43505,Pickup-0,1
1,25.24425,55.43521,Pickup-1,1
2,25.244069999999997,55.43678,Pickup-2,3
3,25.24192,55.43708,Pickup-3,1
4,25.24188,55.43783,Pickup-4,1
5,25.24236,55.43799,Pickup-5,1
6,25.24154,55.43848,Pickup-6,1
7,25.244253333333333,55.43862333333334,Pickup-7,3
8,25.24108,55.439080000000004,Pickup-8,5
9,25.24314,55.43956,Pickup-9,1
10,25.240976,55.439676,Pickup-10,5
11,25.24104,55.44027,Pickup-11,2
12,25.241609999999998,55.44073,Pickup-12,3
13,25.243295,55.441162500000004,Pickup-13,4
14,25.23415,55.440855,Pickup-14,2
15,25.2350875,55.44103,Pickup-15,4
16,25.23581,55.44116,Pickup-16,1
17,25.23452,55.44163,Pickup-17,1
18,25.235678,55.441958,Pickup-18,5
19,25.2334375,55.442045,Pickup-19,4
20,25.23276,55.44254,Pickup-20,2
21,25.23333,55.44274,Pickup-21,2
22,25.23574,55.4428,Pickup-22,4
23,25.23394,55.44285,Pickup-23,4
24,25.23294,55.44347,Pickup-24,2
25,25.23445,55.443565,Pickup-25,2
26,25.23547,55.44376,Pickup-26,2
27,25.23248,55.44506,Pickup-27,1
28,25.23428,55.44773,Pickup-28,1
29,25.23162,55.4481,Pickup-29,1
30,25.25275,55.43104,Pickup-30,1
31,25.25021,55.43164,Pickup-31,1
32,25.24831,55.43253,Pickup-32,1
33,25.24791,55.43312,Pickup-33,1
34,25.25044,55.43349,Pickup-34,2
35,25.254224999999998,55.434290000000004,Pickup-35,2
36,25.25275,55.43442,Pickup-36,1
37,25.24617,55.43639,Pickup-37,1
38,25.25344,55.43645,Pickup-38,1
39,25.25435,55.43725,Pickup-39,1
40,25.2531,55.43751,Pickup-40,1
41,25.25388,55.43752,Pickup-41,1
42,25.24663,55.43781,Pickup-42,1
43,25.25104,55.43869,Pickup-43,1
44,25.24605,55.43882,Pickup-44,1
45,25.24539,55.43993,Pickup-45,1
46,25.25161,55.44026,Pickup-46,1
47,25.2533,55.44032,Pickup-47,1
48,25.25283,55.44106,Pickup-48,4
49,25.25014,55.4415,Pickup-49,1
